Occupation,COVID-19 Risk Score
Intelligence Analysts,15.6
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",15.6
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",15.5
Sewing Machine Operators,15.5
"Welders, Cutters, and Welder Fitters",15.5
"Pressers, Textile, Garment, and Related Materials",15.4
Construction and Building Inspectors,15.3
"Electronics Engineers, Except Computer",15.3
Machinists,15.3
Transportation Planners,15.3
Automotive Body and Related Repairers,15.2
Business Continuity Planners,15.2
Energy Engineers,15.2
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",15.2
Robotics Technicians,15.2
Statistical Assistants,15.2
Transportation Engineers,15.2
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",15.1
Machine Feeders and Offbearers,15.1
Terrazzo Workers and Finishers,15.1
"Economics Teachers, Postsecondary",15
Non-Destructive Testing Specialists,15
Regulatory Affairs Specialists,15
"Software Developers, Systems Software",15
Bridge and Lock Tenders,14.9
"Forestry and Conservation Science Teachers, Postsecondary",14.9
"Social Work Teachers, Postsecondary",14.9
Tile and Marble Setters,14.9
Environmental Engineers,14.8
Farm Equipment Mechanics and Service Technicians,14.8
School Psychologists,14.8
Software Quality Assurance Engineers and Testers,14.8
Biochemical Engineers,14.7
Biofuels/Biodiesel Technology and Product Development Managers,14.7
Brownfield Redevelopment Specialists and Site Managers,14.7
Document Management Specialists,14.7
Physicists,14.7
"Software Developers, Applications",14.7
Drywall and Ceiling Tile Installers,14.6
"History Teachers, Postsecondary",14.6
Product Safety Engineers,14.6
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",14.6
Traffic Technicians,14.6
Wellhead Pumpers,14.6
Biomedical Engineers,14.5
Database Administrators,14.5
Market Research Analysts and Marketing Specialists,14.5
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",14.4
"Patternmakers, Wood",14.4
Dredge Operators,14.3
Solar Photovoltaic Installers,14.3
Museum Technicians and Conservators,14.2
Security Management Specialists,14.2
Animal Breeders,14.1
Management Analysts,14.1
Solar Energy Systems Engineers,14.1
Zoologists and Wildlife Biologists,14
"Foreign Language and Literature Teachers, Postsecondary",13.9
Print Binding and Finishing Workers,13.9
"Computer, Automated Teller, and Office Machine Repairers",13.7
Natural Sciences Managers,13.7
"Philosophy and Religion Teachers, Postsecondary",13.7
Chemical Engineers,13.6
Conveyor Operators and Tenders,13.5
Electrical Engineering Technicians,13.5
Electronics Engineering Technologists,13.5
Semiconductor Processors,13.5
Bioinformatics Scientists,13.4
"Agricultural Sciences Teachers, Postsecondary",13.3
Civil Engineers,13.3
Epidemiologists,13.3
Etchers and Engravers,13.3
Remote Sensing Technicians,13.3
"Tool Grinders, Filers, and Sharpeners",13.3
Climate Change Analysts,13.1
Fire-Prevention and Protection Engineers,13.1
Gas Plant Operators,13.1
Sustainability Specialists,13.1
Automotive Engineers,13
Geographers,13
Manufacturing Production Technicians,13
"Mining and Geological Engineers, Including Mining Safety Engineers",13
Nanotechnology Engineering Technicians,12.9
"Pourers and Casters, Metal",12.9
Tire Builders,12.9
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",12.8
Graphic Designers,12.8
Civil Drafters,12.7
Environmental Restoration Planners,12.7
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",12.6
"Glass Blowers, Molders, Benders, and Finishers",12.6
Business Intelligence Analysts,12.5
Database Architects,12.5
"Fraud Examiners, Investigators and Analysts",12.5
Human Factors Engineers and Ergonomists,12.5
Survey Researchers,12.5
Web Developers,12.5
"Title Examiners, Abstractors, and Searchers",12.4
Electronic Drafters,12.2
"Loading Machine Operators, Underground Mining",12.2
Prepress Technicians and Workers,12.2
Robotics Engineers,12.2
Motion Picture Projectionists,12.1
Nanotechnology Engineering Technologists,12.1
"Stock Clerks- Stockroom, Warehouse, or Storage Yard",12.1
Financial Examiners,12
Architectural and Engineering Managers,11.9
Solderers and Brazers,11.9
Surveyors,11.8
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",11.6
Wind Energy Project Managers,11.6
Desktop Publishers,11.3
"Coil Winders, Tapers, and Finishers",11.2
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",11.2
"Cooks, Private Household",11.1
Farm and Ranch Managers,11.1
Materials Engineers,11.1
Paperhangers,11.1
"Political Science Teachers, Postsecondary",11.1
Architectural Drafters,11
"Rock Splitters, Quarry",11
Geographic Information Systems Technicians,10.9
"Stone Cutters and Carvers, Manufacturing",10.9
Social Science Research Assistants,10.7
"Business Teachers, Postsecondary",10.6
Camera and Photographic Equipment Repairers,10.6
"Environmental Science and Protection Technicians, Including Health",10.6
First-Line Supervisors of Agricultural Crop and Horticultural Workers,10.6
Nursery Workers,10.5
Agricultural Engineers,10.3
Computer Systems Engineers/Architects,10.3
Water Resource Specialists,10.3
Mechanical Drafters,10.2
Instructional Designers and Technologists,10.1
Wind Energy Engineers,10.1
"Appraisers, Real Estate",10
Geodetic Surveyors,10
Web Administrators,10
"Farmworkers and Laborers, Crop",9.9
Nuclear Engineers,9.9
Fuel Cell Engineers,9.7
Nanosystems Engineers,9.7
Surveying Technicians,9.7
Watch Repairers,9.7
"Fine Artists, Including Painters, Sculptors, and Illustrators",9.6
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",9.3
Shoe Machine Operators and Tenders,9.3
Manufacturing Engineering Technologists,9.1
Foresters,9
Political Scientists,8.9
Floor Sanders and Finishers,8.8
Mapping Technicians,8.7
Search Marketing Strategists,8.7
Archivists,8.6
Precious Metal Workers,8.4
Materials Scientists,8.3
Judicial Law Clerks,8.2
Biostatisticians,8
Craft Artists,8
"Potters, Manufacturing",8
Environmental Compliance Inspectors,7.9
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",7.7
"Textile Cutting Machine Setters, Operators, and Tenders",7.6
"Sewers, Hand",7.5
Electrical and Electronic Equipment Assemblers,7.4
"Painters, Transportation Equipment",7.3
Geospatial Information Scientists and Technologists,7.2
Hydrologists,7.2
Marine Engineers,7.2
Tool and Die Makers,7.2
Industrial Ecologists,6.9
Jewelers,6.9
Statisticians,6.7
Biochemists and Biophysicists,6.1
Computer Hardware Engineers,6.1
Microsystems Engineers,6.1
Music Composers and Arrangers,6.1
Sociologists,6.1
Environmental Economists,6
Remote Sensing Scientists and Technologists,6
Molecular and Cellular Biologists,5.8
Actuaries,5.2
Atmospheric and Space Scientists,5
"Poets, Lyricists and Creative Writers",4.9
Soil and Plant Scientists,4.9
Computer Network Architects,4.8
Mathematicians,4.3
"Geoscientists, Except Hydrologists and Geographers",4.2
Operations Research Analysts,3.5
Geological Sample Test Technicians,3.3
Data Warehousing Specialists,2.9
Financial Quantitative Analysts,2.9
Fallers,2.8
Photonics Technicians,2.7
Tapers,2.3
Astronomers,2
Economists,1.5
